"","iid","tr","ID_tr","begin","end","duration","belief_cost","kwh_led","kwh_cfl","yuan","belief_carbon","relative_1","relative_2","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","q13","q14","q15","r2_q1","r2_q2","r2_q3","r2_q4","r2_q5","r2_q6","r2_q7","r2_q8","r2_q9","r2_q10","r2_q11","r2_q12","r2_q13","r2_q14","r2_q15","income","home","own_bulb","w_price","w_life","w_energy","w_carbon","w_light","w_hg","cc_belief","cc_support_1","cc_support_2","cc_support_3","cc_support_4","cc_support_5","cc_support_6","cc_action_1","cc_action_2","cc_action_3","cc_action_4","ideal","purpose","purpose_other","self_monitor_1","self_monitor_2","self_monitor_3","self_monitor_4","self_monitor_5","self_monitor_6","country","prov","city","gender","age","degree","switch_1","switch_2"
"1355","o34xe09519IyGFqopC2TAc2MQcjo","E",391,"2021/1/7 19:33","2021/1/7 19:36",224,2,18,38,48,2,NA,4,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,9,"",1,1,1,1,1,1,"中国","山西省","阳泉市","A.男",42,"D.大学本科",62,62
"1356","o34xe0956IuPyqBS-EWJieGZF6qk","C",28,"2021/1/7 17:16","2021/1/7 17:20",241,3,100,100,0,3,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,20,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,11,"",1,1,1,1,1,1,"中国","四川省","成都市","A.男",54,"B.高中/中专/技校",30,30
"1357","o34xe095gnyX6xZlaWfDTq4TPEVc","M",75,"2021/1/7 17:22","2021/1/7 17:23",69,3,20,30,20,2,NA,7,2,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,1.5,3,2,2,1,1,2,1,3,2,3,3,2,2,1,2,1,2,2,2,1,10,"",1,3,2,2,1,1,"中国","四川省","","A.男",22,"D.大学本科",18,22
"1360","o34xe098azys-dYkj5Os99HMS01w","C",21,"2021/1/7 17:17","2021/1/7 17:19",119,3,60,60,20,3,NA,NA,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,10,1,2,1,2,1,1,1,1,1,4,3,2,3,2,3,2,1,1,1,3,1,"",1,1,1,1,1,1,"中国","河南省","郑州市","A.男",59,"D.大学本科",50,50
"1361","o34xe098s4GRkalIemcDZBnjXEos","M",15,"2021/1/7 17:15","2021/1/7 17:18",176,1,1000,1000,100,1,3,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,4,3,2,1,1,2,2,1,2,2,2,2,2,2,3,1,1,1,3,3,3,"",2,3,2,3,2,2,"中国","广东省","东莞市","B.女",51,"D.大学本科",38,50
"1363","o34xe09b0P2T94fXvGEAJWGzmhB4","M",319,"2021/1/7 17:16","2021/1/7 18:22",3997,1,11680,17560,3820,2,NA,7,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,13,1,1,2,2,2,3,2,2,2,2,2,2,2,3,3,2,1,3,3,3,9,"",2,3,2,1,1,2,"中国","广东省","深圳市","A.男",33,"D.大学本科",62,62
"1364","o34xe09B9rr0OyFgYv2uoagxeOQ8","M",376,"2021/1/7 18:03","2021/1/7 19:38",5710,1,130,100,15,3,NA,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2.5,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,9,"",2,2,1,1,1,1,"中国","江苏省","","B.女",55,"A.初中及以下",2,62
"1368","o34xe09d4fUFxm6E5ck7Q8medlRQ","C",463,"2021/1/8 13:45","2021/1/8 13:54",555,2,320,380,50,3,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.2,4,1,1,2,1,2,2,2,1,1,1,2,1,2,2,1,1,1,2,3,1,"",1,1,2,1,1,1,"中国","北京市","北京市","B.女",25,"E.硕士及以上",38,38
"1369","o34xe09D9FJaXceFyJMkVlvb-KiA","E",283,"2021/1/7 17:51","2021/1/7 17:56",316,3,300,400,200,2,NA,2,1,2,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,1,1,2,1,3,3,2,1,1,1,1,1,1,1,1,1,1,2,4,4,3,"",3,3,3,2,3,4,"中国","河北省","张家口市","B.女",31,"A.初中及以下",46,62
"1370","o34xe09DBInkQyBInCl8DBkxmzfw","C",184,"2021/1/7 17:23","2021/1/7 17:32",524,2,80,120,50,2,NA,2,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,10,2,2,2,1,1,2,2,1,3,1,4,4,4,4,4,1,2,2,3,5,1,"",3,2,2,2,2,2,"中国","山东省","泰安市","A.男",33,"C.大学专科",50,46
"1371","o34xe09djyGMGl7zCC_3gFobl59I","M",315,"2021/1/7 18:13","2021/1/7 18:20",409,2,10,20,10,2,NA,2,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,1,1,2,2,2,2,2,2,1,1,3,1,1,2,2,1,1,1,1,4,2,"",3,3,2,2,2,2,"中国","河南省","郑州市","B.女",44,"D.大学本科",62,62
"1374","o34xe09eCuvhE-dc1So0P-_zamBM","C",106,"2021/1/7 17:18","2021/1/7 17:24",387,2,20,40,100,2,NA,2,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,10,1,1,2,1,1,2,3,1,1,1,2,2,1,2,2,1,1,2,3,4,11,"对环保方面的付出",2,3,2,2,2,2,"中国","广东省","","B.女",26,"D.大学本科",34,34
"1377","o34xe09Ew5DvQP3kfaZtxR4-otLs","E",46,"2021/1/7 17:20","2021/1/7 17:22",149,1,30,50,60,1,2,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,10,2,1,3,2,1,1,2,1,2,3,2,1,2,1,2,2,1,3,2,2,2,"",2,1,1,2,1,2,"中国","北京市","北京市","A.男",33,"C.大学专科",62,26
"1378","o34xe09ezW4FheAIiBNwHmupKn0M","E",186,"2021/1/7 17:28","2021/1/7 17:33",288,1,300,200,100,1,7,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,10,1,1,2,1,2,2,1,1,1,2,2,2,2,2,3,2,2,2,3,6,8,"",2,2,1,2,2,2,"中国","湖南省","","B.女",27,"D.大学本科",2,2
"1379","o34xe09Fe2grlalr7BdAPyzFNIJ0","C",326,"2021/1/7 18:13","2021/1/7 18:16",219,3,100,80,100,3,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,25,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,5,7,"",2,2,2,2,2,2,"中国","山东省","","A.男",54,"D.大学本科",62,50
"1380","o34xe09FjAq4rPwdw3lMo0ZedCrQ","E",188,"2021/1/7 17:31","2021/1/7 17:33",116,2,60,60,0,2,NA,1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,"",1,1,1,1,1,1,"中国","广东省","广州市","A.男",23,"C.大学专科",62,62
"1381","o34xe09g1b8sgNkqgnmc1jhhmZKg","C",351,"2021/1/7 18:36","2021/1/7 18:38",96,3,50,100,200,1,4,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,10,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,"",1,1,1,1,1,1,"中国","广东省","湛江市","A.男",30,"D.大学本科",14,10
"1382","o34xe09GHoWkBKbkQ_f57QS0JIFg","C",278,"2021/1/7 17:54","2021/1/7 17:56",171,1,600,500,200,2,NA,7,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,15,1,1,1,2,1,2,1,2,2,2,2,2,3,2,1,2,1,1,2,4,9,"",1,2,1,2,1,1,"中国","广东省","深圳市","B.女",28,"D.大学本科",34,62
"1385","o34xe09HJ2EPi6YaWTfxCAcfGyoY","M",231,"2021/1/7 17:30","2021/1/7 17:43",784,2,4646,5146,500,2,NA,8,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.6,1,1,1,2,1,3,3,2,1,2,2,3,2,2,3,2,2,2,3,5,11,"告诉大家学好物理的重要性（4646死咯死咯，5146我要死咯。）可难死我了～",1,2,2,2,2,3,"中国","江苏省","南京市","B.女",25,"D.大学本科",34,62
"1387","o34xe09i0Mjt81x-LYjEEOpAzPpU","C",152,"2021/1/7 17:21","2021/1/7 17:28",440,3,20,20,15,3,NA,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,10,4,1,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,1,3,7,7,"",2,2,2,1,1,1,"中国","河北省","廊坊市","B.女",46,"A.初中及以下",14,30
"1388","o34xe09i2yv-HquKWXDONL_9OX8E","M",13,"2021/1/7 17:16","2021/1/7 17:18",148,1,20,30,60,3,NA,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,1,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,8,"",2,2,2,2,2,1,"中国","山东省","青岛市","B.女",54,"C.大学专科",2,2
"1389","o34xe09IFs7N2R-xcvO7EHISKi4Y","C",420,"2021/1/7 21:08","2021/1/7 21:18",588,3,380,250,200,3,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,18,2,4,2,1,3,3,2,2,2,1,1,1,3,1,1,1,1,1,3,3,8,"",3,3,2,1,1,1,"中国","上海市","上海市","B.女",58,"D.大学本科",38,38
"1390","o34xe09j7xdCWo5GSWB0ICI-TyTo","M",3,"2021/1/7 17:15","2021/1/7 17:16",92,2,300,600,50,2,NA,1,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,20,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,7,8,"",1,2,2,1,2,1,"中国","安徽省","合肥市","A.男",58,"D.大学本科",10,2
"1392","o34xe09jVli2MDQXSIw37K0lu-30","C",380,"2021/1/7 19:12","2021/1/7 19:17",274,3,15,15,30,3,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,8,2,3,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,4,8,"",2,2,1,2,1,2,"中国","北京市","北京市","A.男",59,"C.大学专科",34,14
"1393","o34xe09K2PbTfrFW76PoKpQcxJBE","M",174,"2021/1/7 17:21","2021/1/7 17:33",741,3,50,50,8,3,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,1,4,3,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,3,4,8,"",3,3,1,2,1,2,"中国","江苏省","",NA,NA,NA,34,62
"1397","o34xe09KVVJeTx9JHejAkouDC6gU","M",126,"2021/1/7 17:17","2021/1/7 17:28",626,2,44,22,40,2,NA,8,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,15,1,3,3,1,1,1,1,1,2,1,1,2,1,2,2,1,2,1,2,6,8,"",2,3,2,3,2,2,"中国","广东省","广州市","A.男",32,"D.大学本科",62,62
"1399","o34xe09mFxm8XNTveYRZY_CKAalU","M",417,"2021/1/7 21:49","2021/1/7 22:02",803,2,500,600,100,3,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,10,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,4,3,"",2,2,2,1,1,1,"中国","北京市","北京市","B.女",60,"C.大学专科",62,42
"1401","o34xe09n8ZhJU3AWlVZsIkh8kYx0","E",382,"2021/1/7 18:47","2021/1/7 19:15",1669,1,87.6,16.06,282,1,1,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,18,1,2,2,1,1,1,1,2,1,1,4,4,1,4,4,1,4,1,4,5,3,"",4,4,4,1,4,1,"中国","广东省","","A.男",42,"D.大学本科",6,6
"1404","o34xe09nzvJpWVI7_1xmtxO5nSp4","C",8,"2021/1/7 17:16","2021/1/7 17:18",124,2,10,200,10,2,NA,2,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,20,1,1,2,2,1,2,2,2,2,2,1,2,3,2,2,2,2,3,2,4,2,"",2,2,3,3,2,2,"中国","广东省","广州市","A.男",56,"D.大学本科",30,62
"1405","o34xe09obv7E0m-giA7WjgNpQZaw","C",447,"2021/1/8 9:54","2021/1/8 10:02",506,2,88,88,0,2,NA,1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,7,2,1,2,2,2,2,3,2,2,2,2,2,2,2,2,1,1,2,3,3,11,"节能减排",2,2,2,2,2,2,"中国","河南省","郑州市","A.男",23,"C.大学专科",62,62
"1406","o34xe09ONhasUCQYEJVZ1FsAvj_c","M",147,"2021/1/7 17:24","2021/1/7 17:30",341,2,60,50,5,1,2,NA,2,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,3.6,1,1,2,1,1,3,1,1,1,2,2,2,2,3,2,1,1,1,1,5,8,"",3,4,2,2,2,2,"中国","重庆市","重庆市","B.女",32,"C.大学专科",18,2
"1407","o34xe09Oq8Nbg5uTgvsGkiXV5B0A","E",324,"2021/1/7 18:15","2021/1/7 18:16",65,1,100,200,500,1,4,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,20,2,2,1,1,2,1,2,2,2,2,2,1,2,3,2,1,1,2,1,2,9,"",1,2,1,3,1,2,"中国","广西壮族自治区","","B.女",25,"B.高中/中专/技校",62,62
"1408","o34xe09OTW991b8cfx-9lAL4YFXc","E",379,"2021/1/7 19:03","2021/1/7 19:09",341,3,100,100,50,2,NA,4,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,4,8,"",2,2,2,2,2,2,"中国","山东省","德州市","B.女",40,"A.初中及以下",62,62
"1411","o34xe09PYmSy4-bz2xKTyw0mVGVw","C",299,"2021/1/7 17:46","2021/1/7 18:04",1050,1,87.6,87.6,1000,1,3,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,8,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,5,9,"",2,3,2,2,2,2,"中国","江苏省","泰州市","B.女",30,"D.大学本科",6,14
"1412","o34xe09pZ-2-1OwalXLzZr5dGv00","E",390,"2021/1/7 19:14","2021/1/7 19:27",781,2,22,90,50,2,NA,5,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,1,1,3,2,2,3,1,3,2,2,2,2,2,3,3,1,1,1,3,4,3,"",2,2,2,2,2,3,"中国","吉林省","长春市","B.女",41,"D.大学本科",62,62
"1415","o34xe09r49bMsdFf2e1ADfPCKbjg","C",83,"2021/1/7 17:16","2021/1/7 17:23",421,2,300,800,250,2,NA,5,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,20,1,2,2,2,2,3,3,3,1,1,1,1,1,1,1,1,1,1,3,3,9,"",2,3,2,2,2,2,"中国","上海市","上海市","B.女",57,"D.大学本科",58,58
"1419","o34xe09Si6nICA5mIPj__JZmofSI","E",196,"2021/1/7 17:24","2021/1/7 17:34",600,3,500,500,400,1,6,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,5,1,2,2,1,1,1,1,2,2,2,2,1,1,2,1,1,1,1,2,4,11,"希望大家都能节能减碳，注意环保",2,3,3,2,1,1,"中国","河南省","","B.女",29,"C.大学专科",14,58
"1422","o34xe09tcwwfgZwhUJ-Cift_yrRA","C",188,"2021/1/7 17:23","2021/1/7 17:33",631,1,100,60,30,3,NA,NA,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,3,2,1,3,1,1,3,1,1,2,1,1,1,1,2,2,2,2,1,2,4,8,"",2,3,2,1,2,1,"中国","山东省","滨州市","B.女",47,"D.大学本科",58,14
"1423","o34xe09TFCf6ixIM7dDkGqunMWkM","C",133,"2021/1/7 17:21","2021/1/7 17:26",325,2,100,300,200,2,NA,1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,7.4,1,1,1,1,1,2,1,1,1,1,2,1,2,2,2,1,2,2,1,4,9,"",2,2,1,1,1,1,"中国","福建省","","B.女",35,"B.高中/中专/技校",62,62
"1425","o34xe09tXqOr6gas4GFnOxQOHK3E","M",39,"2021/1/7 17:15","2021/1/7 17:20",324,2,20,30,10,2,NA,2,1,2,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,15,3,1,3,1,1,1,1,1,2,1,2,1,1,1,3,1,1,2,2,5,10,"",2,3,2,3,2,1,"中国","浙江省","杭州市","B.女",33,"E.硕士及以上",46,62
"1426","o34xe09u1V-Dyatq17yGOnnuPRSM","C",214,"2021/1/7 17:27","2021/1/7 17:36",529,3,876,876,50,2,NA,1,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,8,1,1,3,1,1,2,2,1,2,1,1,1,1,3,3,1,1,1,3,4,8,"",1,2,2,2,2,1,"中国","安徽省","宣城市","B.女",37,"C.大学专科",58,58
"1427","o34xe09UYswfXkO4NtUJ1kuMrkHI","E",339,"2021/1/7 18:02","2021/1/7 18:26",1423,2,3,12,8,2,NA,1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,20,1,1,3,2,2,2,3,2,1,1,2,2,2,2,4,2,2,2,3,4,8,"",2,2,2,2,2,2,"中国","浙江省","嘉兴市","A.男",44,"B.高中/中专/技校",62,62
"1428","o34xe09V4-xG-z4BA_rb2gt0gd_I","M",203,"2021/1/7 17:30","2021/1/7 17:38",475,1,100,80,100,3,NA,NA,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,1,1,2,3,3,4,2,4,1,1,2,2,1,3,2,2,2,1,3,4,8,"",2,3,2,2,3,3,"中国","河北省","","B.女",29,"A.初中及以下",58,62
"1429","o34xe09Vk0WdBq7mHRs3wy0hhOF0","C",62,"2021/1/7 17:21","2021/1/7 17:22",63,2,30,200,2000,1,5,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,20,1,2,2,1,1,1,3,1,1,1,1,1,1,2,2,1,1,1,2,1,4,"",2,1,1,1,2,1,"中国","陕西省","西安市","A.男",55,"D.大学本科",30,62
"1430","o34xe09vL4ef-W_6zlG2AQBl7fhU","E",253,"2021/1/7 17:43","2021/1/7 17:47",235,1,100,80,20,2,NA,5,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,"",1,1,1,1,1,1,"中国","广西壮族自治区","","A.男",39,"C.大学专科",2,2
"1433","o34xe09wcFar7rsySvBj_aCLUVnk","C",266,"2021/1/7 17:45","2021/1/7 17:52",437,1,26,360,150,2,NA,5,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,"",1,1,1,1,1,1,"中国","河北省","唐山市","A.男",31,"C.大学专科",62,62
"1434","o34xe09XexIZzbxuOVL1Qg0PmdU8","C",64,"2021/1/7 17:18","2021/1/7 17:22",234,2,58.4,11.68,90,3,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,4,1,1,1,1,1,1,1,3,2,2,3,2,2,2,2,2,2,2,5,7,"",1,3,2,2,2,2,"中国","山东省","济南市",NA,NA,NA,62,62
"1437","o34xe09yGP5k-sOrQ-XlRcnG7NXs","M",11,"2021/1/7 17:15","2021/1/7 17:18",179,1,500,300,300,3,NA,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,15,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,6,"",2,2,2,2,3,2,"中国","云南省","","A.男",55,"B.高中/中专/技校",2,38
"1439","o34xe09YPxoPQ6kR0g87FRzgCiKs","C",74,"2021/1/7 17:17","2021/1/7 17:23",350,3,10,20,40,2,NA,3,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,10,1,1,2,2,2,2,1,1,3,2,2,2,2,3,3,1,1,1,1,4,6,"",2,2,2,2,2,2,"中国","北京市","北京市","B.女",36,"D.大学本科",34,2
"1440","o34xe09Yvis7Pl_TlYWsZrMhWpK4","E",87,"2021/1/7 17:17","2021/1/7 17:24",416,1,30,20,6,2,NA,6,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,1,1,2,2,2,2,1,1,2,2,4,2,2,4,4,1,1,2,3,3,11,"了解人们对于节能减排的普遍认知和态度",2,3,2,2,1,2,"中国","广东省","韶关市","A.男",37,"D.大学本科",50,62
"1441","o34xe09YyDHQf_LwDpw4BSnqlXAU","E",193,"2021/1/7 17:24","2021/1/7 17:34",573,3,2000,1600,500,3,NA,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,10,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,9,"",1,1,1,1,1,1,"中国","安徽省","合肥市","A.男",44,"A.初中及以下",2,30
"1443","o34xe09zay8t87oVt-rY7Pvc4O78","C",425,"2021/1/7 21:58","2021/1/7 22:00",130,2,1,1,1,3,NA,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,10,4,4,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,6,5,"",2,2,2,2,2,2,"中国","安徽省","","B.女",30,"D.大学本科",2,2
"1445","o34xe09ZnvDU3ez7NJ9KiUXKjjoM","M",421,"2021/1/7 22:02","2021/1/7 22:16",871,1,1095,720,150,1,7,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,8,1,2,2,2,2,3,2,1,2,1,2,2,2,2,3,2,2,1,2,4,5,"",2,3,2,2,2,1,"中国","上海市","上海市","A.男",58,"D.大学本科",2,38
"1446","o34xe09Zt6bvmsr9uMDAtNA7XkXU","E",38,"2021/1/7 17:18","2021/1/7 17:21",219,2,24,50,100,2,NA,4,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,2,3,1,"",2,2,2,2,2,2,"中国","四川省","","B.女",45,"A.初中及以下",62,62
